entity_type,entity_id,stage,reason_code,technical_detail
package,ubuntu:lenovo-fccunlock,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:linux-cloud-tools-common,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:linux-tools-host,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:local-apt-repository,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:logcheck,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:lpr,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:lxd-installer,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:memlockd,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:nagzilla,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:netdiag,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:netfilter-persistent,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:netscript-2.4,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:netscript-ipfilter,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:nvidia-fabricmanager-580,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:nvidia-fabricmanager-595,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:nvidia-imex-580,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:nvidia-imex-595,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:openbsd-inetd,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:pcaputils,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:php-common,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
package,ubuntu:pk4,cross_family_eligibility,NO_AUTHORITATIVE_UPSTREAM_URL,
