example_type,selection_rule,lineage_id,project,distribution,comparison_distribution,assessment_family,u_states,p_states,e_states,analysis_classification
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectClock,[],"[""{\""description\"": \""Service may write to the hardware clock or system clock\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service may write to the hardware clock or system clock\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectControlGroups,[],"[""{\""description\"": \""Service may modify the control group file system\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service may modify the control group file system\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectHome,[],"[""{\""description\"": \""Service has full access to home directories\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service has full access to home directories\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectHostname,[],"[""{\""description\"": \""Service may change system host/domainname\"", \""exposure\"": \""0.1\"", \""set\"": false}""]","[""{\""description\"": \""Service may change system host/domainname\"", \""exposure\"": \""0.1\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectKernelLogs,[],"[""{\""description\"": \""Service may read from or write to the kernel log ring buffer\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service may read from or write to the kernel log ring buffer\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectKernelModules,[],"[""{\""description\"": \""Service may load or read kernel modules\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service may load or read kernel modules\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectKernelTunables,[],"[""{\""description\"": \""Service may alter kernel tunables\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service may alter kernel tunables\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectProc,[],"[""{\""description\"": \""Service has full access to process tree (/proc hidepid=)\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service has full access to process tree (/proc hidepid=)\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProtectSystem,[],"[""{\""description\"": \""Service has full access to the OS file hierarchy\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service has full access to the OS file hierarchy\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,RemoveIPC,[],"[""{\""description\"": \""Service user may leave SysV IPC objects around\"", \""exposure\"": \""0.1\"", \""set\"": false}""]","[""{\""description\"": \""Service user may leave SysV IPC objects around\"", \""exposure\"": \""0.1\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
