pair,family_type,assessment_family,projects,lineages,left_enabled,right_enabled,left_proportion,right_proportion,left_minus_right_percentage_points,ci_low_percentage_points,ci_high_percentage_points,cohort,observational_unit
Debian ↔ Arch,CROSS_FAMILY,RemoveIPC,130,192,18,18,0.09375,0.09375,0.0,-3.8461538461538463,3.930192335999214,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,RestrictAddressFamilies,130,192,31,29,0.16145833333333334,0.15104166666666666,1.0416666666666665,-1.5959580157014448,4.167212041884809,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,RestrictNamespaces,130,192,27,27,0.140625,0.140625,0.0,-3.5362554112554108,3.5175879396984926,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,RestrictRealtime,130,192,35,37,0.18229166666666666,0.19270833333333334,-1.0416666666666665,-5.2138284409816125,3.1581328887830407,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,RestrictSUIDSGID,130,192,26,27,0.13541666666666666,0.140625,-0.5208333333333333,-4.494522471910113,3.571428571428571,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,RootDirectoryOrRootImage,130,192,0,0,0.0,0.0,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,SupplementaryGroups,130,192,58,67,0.3020833333333333,0.3489583333333333,-4.6875,-14.692291608586562,2.2989829969807705,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,SystemCallArchitectures,130,192,22,19,0.11458333333333333,0.09895833333333333,1.5625,-1.6304347826086956,5.294117647058823,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,SystemCallFilter,130,192,24,23,0.125,0.11979166666666667,0.5208333333333333,-2.793296089385475,3.954802259887006,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,UMask,130,192,5,4,0.026041666666666668,0.020833333333333332,0.5208333333333333,0.0,1.7142857142857144,C1X,paired lineage
Debian ↔ Arch,CROSS_FAMILY,UserOrDynamicUser,130,192,58,67,0.3020833333333333,0.3489583333333333,-4.6875,-14.563106796116504,2.3529411764705883,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,AmbientCapabilities,239,434,418,420,0.9631336405529954,0.967741935483871,-0.4608294930875576,-1.3236522751822843,0.0,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet,239,434,106,94,0.24423963133640553,0.21658986175115208,2.7649769585253456,0.5194245409762651,5.77517144995494,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,Delegate,239,434,431,431,0.9930875576036866,0.9930875576036866,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,DeviceAllow,239,434,27,25,0.06221198156682028,0.0576036866359447,0.4608294930875576,-0.9346231929714024,2.0896390142311683,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,IPAddressDeny,239,434,22,22,0.05069124423963134,0.05069124423963134,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,KeyringMode,239,434,434,434,1.0,1.0,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,LockPersonality,239,434,58,50,0.1336405529953917,0.1152073732718894,1.8433179723502304,0.0,4.228874509627091,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,MemoryDenyWriteExecute,239,434,66,60,0.15207373271889402,0.1382488479262673,1.3824884792626728,-0.6060606060606061,3.968303202174169,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,NoNewPrivileges,239,434,75,64,0.1728110599078341,0.14746543778801843,2.5345622119815667,0.5601331441667576,5.26345968131337,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,NotifyAccess,239,434,422,421,0.9723502304147466,0.9700460829493087,0.2304147465437788,0.0,0.8620689655172413,C1X,paired lineage
