pair,family_type,candidate_lineages,retained_lineages,retention,candidate_projects,retained_projects,cohort
Debian ↔ Fedora,CROSS_FAMILY,335,218,0.6507462686567164,178,123,C1X
Debian ↔ Arch,CROSS_FAMILY,192,119,0.6197916666666666,130,75,C1X
Ubuntu ↔ Fedora,CROSS_FAMILY,443,293,0.6613995485327314,244,163,C1X
Ubuntu ↔ Arch,CROSS_FAMILY,239,153,0.6401673640167364,153,89,C1X
Fedora ↔ Arch,CROSS_FAMILY,258,176,0.6821705426356589,156,100,C1X
Debian ↔ Ubuntu,DERIVATIVE_FAMILY,403,251,0.6228287841191067,227,143,C1D
