distribution,assessment_family,added,removed,modified,total_changed,denominator,projects,change_rate,ci_low,ci_high,analysis_classification,observational_unit
debian,Delegate,0,0,0,0,240,143,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,DeviceAllow,0,0,0,0,239,143,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,IPAddressDeny,0,0,0,0,239,143,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,KeyringMode,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,LockPersonality,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,MemoryDenyWriteExecute,0,1,0,1,240,144,0.004166666666666667,0.0,0.014851945231697883,derived descriptive analysis,lineage-distribution assessment family
debian,NoNewPrivileges,0,1,0,1,240,144,0.004166666666666667,0.0,0.015000939849624046,derived descriptive analysis,lineage-distribution assessment family
debian,NotifyAccess,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,PrivateDevices,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,PrivateMounts,0,0,0,0,239,143,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,PrivateNetwork,0,0,0,0,239,143,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,PrivateTmp,5,1,1,7,240,144,0.029166666666666667,0.004761340555179418,0.06316122584943366,derived descriptive analysis,lineage-distribution assessment family
debian,PrivateUsers,0,0,0,0,239,143,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,ProcSubset,0,0,0,0,239,143,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,ProtectClock,0,0,0,0,240,144,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
debian,ProtectControlGroups,0,1,0,1,241,144,0.004149377593360996,0.0,0.014707693422196438,derived descriptive analysis,lineage-distribution assessment family
