distribution,assessment_family,enabled_projects,projects,proportion,cohort,observational_unit
debian,RestrictAddressFamilies,35,232,0.15086206896551724,C1X,upstream project (any matched lineage enabled)
debian,RestrictNamespaces,30,232,0.12931034482758622,C1X,upstream project (any matched lineage enabled)
debian,RestrictRealtime,40,232,0.1724137931034483,C1X,upstream project (any matched lineage enabled)
debian,RestrictSUIDSGID,24,232,0.10344827586206896,C1X,upstream project (any matched lineage enabled)
debian,RootDirectoryOrRootImage,0,232,0.0,C1X,upstream project (any matched lineage enabled)
debian,SupplementaryGroups,67,232,0.28879310344827586,C1X,upstream project (any matched lineage enabled)
debian,SystemCallArchitectures,25,232,0.10775862068965517,C1X,upstream project (any matched lineage enabled)
debian,SystemCallFilter,28,232,0.1206896551724138,C1X,upstream project (any matched lineage enabled)
debian,UMask,5,232,0.021551724137931036,C1X,upstream project (any matched lineage enabled)
debian,UserOrDynamicUser,68,232,0.29310344827586204,C1X,upstream project (any matched lineage enabled)
fedora,AmbientCapabilities,304,313,0.9712460063897763,C1X,upstream project (any matched lineage enabled)
fedora,CapabilityBoundingSet,75,313,0.23961661341853036,C1X,upstream project (any matched lineage enabled)
fedora,Delegate,313,313,1.0,C1X,upstream project (any matched lineage enabled)
fedora,DeviceAllow,25,313,0.07987220447284345,C1X,upstream project (any matched lineage enabled)
fedora,IPAddressDeny,11,313,0.03514376996805112,C1X,upstream project (any matched lineage enabled)
fedora,KeyringMode,313,313,1.0,C1X,upstream project (any matched lineage enabled)
fedora,LockPersonality,38,313,0.12140575079872204,C1X,upstream project (any matched lineage enabled)
fedora,MemoryDenyWriteExecute,44,313,0.14057507987220447,C1X,upstream project (any matched lineage enabled)
fedora,NoNewPrivileges,46,313,0.14696485623003194,C1X,upstream project (any matched lineage enabled)
fedora,NotifyAccess,308,313,0.9840255591054313,C1X,upstream project (any matched lineage enabled)
fedora,PrivateDevices,43,313,0.13738019169329074,C1X,upstream project (any matched lineage enabled)
fedora,PrivateMounts,313,313,1.0,C1X,upstream project (any matched lineage enabled)
fedora,PrivateNetwork,19,313,0.06070287539936102,C1X,upstream project (any matched lineage enabled)
fedora,PrivateTmp,70,313,0.22364217252396165,C1X,upstream project (any matched lineage enabled)
fedora,PrivateUsers,10,313,0.03194888178913738,C1X,upstream project (any matched lineage enabled)
fedora,ProcSubset,4,313,0.012779552715654952,C1X,upstream project (any matched lineage enabled)
fedora,ProtectClock,28,313,0.08945686900958466,C1X,upstream project (any matched lineage enabled)
fedora,ProtectControlGroups,56,313,0.17891373801916932,C1X,upstream project (any matched lineage enabled)
fedora,ProtectHome,50,313,0.1597444089456869,C1X,upstream project (any matched lineage enabled)
fedora,ProtectHostname,30,313,0.09584664536741214,C1X,upstream project (any matched lineage enabled)
fedora,ProtectKernelLogs,31,313,0.09904153354632587,C1X,upstream project (any matched lineage enabled)
fedora,ProtectKernelModules,49,313,0.15654952076677317,C1X,upstream project (any matched lineage enabled)
fedora,ProtectKernelTunables,40,313,0.12779552715654952,C1X,upstream project (any matched lineage enabled)
fedora,ProtectProc,16,313,0.051118210862619806,C1X,upstream project (any matched lineage enabled)
fedora,ProtectSystem,36,313,0.11501597444089456,C1X,upstream project (any matched lineage enabled)
fedora,RemoveIPC,13,313,0.04153354632587859,C1X,upstream project (any matched lineage enabled)
fedora,RestrictAddressFamilies,42,313,0.134185303514377,C1X,upstream project (any matched lineage enabled)
fedora,RestrictNamespaces,36,313,0.11501597444089456,C1X,upstream project (any matched lineage enabled)
fedora,RestrictRealtime,47,313,0.1501597444089457,C1X,upstream project (any matched lineage enabled)
fedora,RestrictSUIDSGID,30,313,0.09584664536741214,C1X,upstream project (any matched lineage enabled)
fedora,RootDirectoryOrRootImage,0,313,0.0,C1X,upstream project (any matched lineage enabled)
fedora,SupplementaryGroups,89,313,0.28434504792332266,C1X,upstream project (any matched lineage enabled)
fedora,SystemCallArchitectures,32,313,0.10223642172523961,C1X,upstream project (any matched lineage enabled)
fedora,SystemCallFilter,31,313,0.09904153354632587,C1X,upstream project (any matched lineage enabled)
fedora,UMask,10,313,0.03194888178913738,C1X,upstream project (any matched lineage enabled)
fedora,UserOrDynamicUser,89,313,0.28434504792332266,C1X,upstream project (any matched lineage enabled)
ubuntu,AmbientCapabilities,290,302,0.9602649006622517,C1X,upstream project (any matched lineage enabled)
ubuntu,CapabilityBoundingSet,88,302,0.2913907284768212,C1X,upstream project (any matched lineage enabled)
ubuntu,Delegate,301,302,0.9966887417218543,C1X,upstream project (any matched lineage enabled)
ubuntu,DeviceAllow,29,302,0.09602649006622517,C1X,upstream project (any matched lineage enabled)
ubuntu,IPAddressDeny,9,302,0.029801324503311258,C1X,upstream project (any matched lineage enabled)
ubuntu,KeyringMode,302,302,1.0,C1X,upstream project (any matched lineage enabled)
ubuntu,LockPersonality,38,302,0.12582781456953643,C1X,upstream project (any matched lineage enabled)
ubuntu,MemoryDenyWriteExecute,47,302,0.15562913907284767,C1X,upstream project (any matched lineage enabled)
ubuntu,NoNewPrivileges,60,302,0.1986754966887417,C1X,upstream project (any matched lineage enabled)
ubuntu,NotifyAccess,299,302,0.9900662251655629,C1X,upstream project (any matched lineage enabled)
ubuntu,PrivateDevices,53,302,0.17549668874172186,C1X,upstream project (any matched lineage enabled)
ubuntu,PrivateMounts,302,302,1.0,C1X,upstream project (any matched lineage enabled)
ubuntu,PrivateNetwork,15,302,0.04966887417218543,C1X,upstream project (any matched lineage enabled)
ubuntu,PrivateTmp,74,302,0.24503311258278146,C1X,upstream project (any matched lineage enabled)
ubuntu,PrivateUsers,14,302,0.046357615894039736,C1X,upstream project (any matched lineage enabled)
ubuntu,ProcSubset,4,302,0.013245033112582781,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectClock,34,302,0.11258278145695365,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectControlGroups,61,302,0.20198675496688742,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectHome,64,302,0.2119205298013245,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectHostname,34,302,0.11258278145695365,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectKernelLogs,37,302,0.12251655629139073,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectKernelModules,57,302,0.18874172185430463,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectKernelTunables,49,302,0.16225165562913907,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectProc,16,302,0.052980132450331126,C1X,upstream project (any matched lineage enabled)
ubuntu,ProtectSystem,42,302,0.1390728476821192,C1X,upstream project (any matched lineage enabled)
ubuntu,RemoveIPC,21,302,0.0695364238410596,C1X,upstream project (any matched lineage enabled)
ubuntu,RestrictAddressFamilies,42,302,0.1390728476821192,C1X,upstream project (any matched lineage enabled)
ubuntu,RestrictNamespaces,38,302,0.12582781456953643,C1X,upstream project (any matched lineage enabled)
ubuntu,RestrictRealtime,47,302,0.15562913907284767,C1X,upstream project (any matched lineage enabled)
ubuntu,RestrictSUIDSGID,34,302,0.11258278145695365,C1X,upstream project (any matched lineage enabled)
ubuntu,RootDirectoryOrRootImage,0,302,0.0,C1X,upstream project (any matched lineage enabled)
ubuntu,SupplementaryGroups,85,302,0.2814569536423841,C1X,upstream project (any matched lineage enabled)
ubuntu,SystemCallArchitectures,33,302,0.10927152317880795,C1X,upstream project (any matched lineage enabled)
ubuntu,SystemCallFilter,34,302,0.11258278145695365,C1X,upstream project (any matched lineage enabled)
ubuntu,UMask,6,302,0.019867549668874173,C1X,upstream project (any matched lineage enabled)
ubuntu,UserOrDynamicUser,87,302,0.28807947019867547,C1X,upstream project (any matched lineage enabled)
