entity_type,entity_id,stage,reason_code,technical_detail
upstream_artifact,debian:https://github.com/COVESA/dlt-daemon::dlt-daemon,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/COVESA/dlt-daemon::dlt-dbus,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/COVESA/dlt-daemon::dlt-system,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/ClusterLabs/booth::true,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=2, executable_candidates=0"
upstream_artifact,debian:https://github.com/DNSCrypt/dnscrypt-proxy::dnscrypt-proxy,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/DNSCrypt/dnscrypt-proxy::sh,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/HewlettPackard/netperf::netserver,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/OpenMandrivaSoftware/ossp::osspd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/SuperQ/smokeping_prober::prometheus-smokeping-prober,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/adnanh/webhook::webhook,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/analogdevicesinc/libiio::iiod,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/ar-/incron::incrond,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/bus1/dbus-broker::dbus-broker-launch,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://github.com/cronie-crond/cronie::crond,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/czerwonk/bird_exporter::prometheus-bird-exporter,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/dlundquist/sniproxy::sniproxy,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/gridcf/gct::globus-gridftp-server,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/jonnenauha/prometheus_varnish_exporter::prometheus-varnish-exporter,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/ksmtuned/ksmtuned::ksmctl,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://github.com/ksmtuned/ksmtuned::ksmtuned,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://github.com/linux-msm/qbootctl::qbootctl,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/linux-rdma/opensm::sh,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/nfs-ganesha/nfs-ganesha::bash,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/nfs-ganesha/nfs-ganesha::nfs-ganesha-config.sh,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/oliver006/redis_exporter::prometheus-redis-exporter,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/open-iscsi/open-isns::isnsdd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=1, executable_candidates=0"
upstream_artifact,debian:https://github.com/prometheus-community/elasticsearch_exporter::prometheus-elasticsearch-exporter,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/prometheus-community/postgres_exporter::prometheus-postgres-exporter,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/prometheus/blackbox_exporter::prometheus-blackbox-exporter,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/prometheus/mysqld_exporter::prometheus-mysqld-exporter,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/prometheus/node_exporter::prometheus-node-exporter,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=1, executable_candidates=0"
upstream_artifact,debian:https://github.com/prometheus/snmp_exporter::prometheus-snmp-exporter,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=1, executable_candidates=0"
upstream_artifact,debian:https://github.com/trojan-gfw/trojan::trojan,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://github.com/v2fly/v2ray-core::v2ray,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
