subset,analysis,supporting_signal,retained_c3x_projects,retained_c3x_matches,projects_with_resolved_observations,resolved_policy_group_observations,changed_observations,change_rate,ci_low,ci_high,analysis_classification,primary_membership_changed,observational_unit
EXECSTART_CORROBORATED,EXECSTART_CORROBORATED,package_owned_normalized_execstart_target_in_two_or_more_members,148,227,148,24219,146,0.006028324868904579,0.003316625514991478,0.00959100702512743,secondary matching-construct-validity sensitivity analysis,False,resolved C3X lineage-distribution assessment family
STRONG_SIGNAL_UNION,STRONG_SIGNAL_UNION,byte_identical_unit_or_shared_upstream_hash_or_package_owned_execstart,215,383,215,37233,258,0.0069293368785754575,0.003929391577423523,0.010851358437519354,secondary matching-construct-validity sensitivity analysis,False,resolved C3X lineage-distribution assessment family
